                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.117,                 2.4704,                 1.2535,                0.48004,                0.16068,                0.14846,                0.05975,                 2.0217,                 2.1616,                 1.2652,             0.00030206,             0.00030206,             0.00030206
                      2,                 2.0277,                 1.7941,                 1.2014,                0.23614,                0.24813,                0.20323,                0.07906,                 1.9944,                 1.6202,                 1.2792,             0.00055899,             0.00055899,             0.00055899
                      3,                 1.9526,                 1.6611,                 1.1767,                0.51775,                0.25011,                0.21004,                0.10863,                 1.8575,                  1.249,                 1.1933,             0.00077964,             0.00077964,             0.00077964
                      4,                 1.8843,                 1.5131,                 1.1464,                0.32975,                0.29932,                0.17545,                0.08548,                 1.8279,                  1.287,                 1.1909,             0.00072902,             0.00072902,             0.00072902
                      5,                 1.7933,                 1.4035,                 1.1181,                 0.4905,                0.31626,                0.23414,                0.12214,                  1.945,                 1.2481,                 1.2414,             0.00066902,             0.00066902,             0.00066902
                      6,                 1.7478,                 1.3065,                 1.0917,                0.28445,                0.30385,                0.23704,                0.13047,                 1.8539,                 1.1612,                 1.2031,             0.00060903,             0.00060903,             0.00060903
                      7,                 1.7009,                 1.2145,                 1.0847,                0.28829,                0.26297,                0.26607,                0.14287,                 1.8811,                 1.1113,                  1.177,             0.00049366,             0.00049366,             0.00049366
                      8,                 1.6955,                 1.1847,                 1.0763,                0.45109,                0.20634,                0.23135,                 0.1273,                 1.9324,                 1.1421,                  1.207,             0.00042443,             0.00042443,             0.00042443
                      9,                 1.6231,                 1.0956,                 1.0563,                0.35015,                0.40915,                0.32531,                 0.1737,                  1.786,                 1.0971,                 1.1417,             0.00035521,             0.00035521,             0.00035521
                     10,                 1.5511,                 1.0557,                 1.0319,                0.38628,                 0.4307,                0.39002,                    0.2,                  1.797,                0.97388,                  1.138,             0.00028599,             0.00028599,             0.00028599
                     11,                 1.5161,                0.97788,                 1.0175,                0.52117,                0.49381,                0.42566,                0.22116,                 1.8046,                0.93366,                 1.1477,             0.00026621,             0.00026621,             0.00026621
                     12,                 1.4678,                0.90487,                  1.003,                0.54952,                0.51932,                0.47262,                0.24406,                 1.7951,                0.96049,                 1.1341,             0.00020193,             0.00020193,             0.00020193
                     13,                 1.4767,                0.88599,                  1.005,                0.52159,                0.52272,                0.43945,                0.24326,                 1.7557,                0.96041,                 1.1393,             0.00013765,             0.00013765,             0.00013765
                     14,                 1.4516,                0.87256,                0.99393,                 0.5133,                0.54794,                0.46741,                0.26176,                 1.7641,                 0.9103,                 1.1237,             7.3369e-05,             7.3369e-05,             7.3369e-05
